entry_id,pollster,grade,date_start,date_end,n,group,metric,value,note
201074F0_00,The New York Times/Siena College,3.0,2026-05-11,2026-05-15,1507,white_nc,gcb_d_share,0.3846,Two-party share D/(D+R). AAPI excluded — lumped with Other.
201074F0_01,The New York Times/Siena College,3.0,2026-05-11,2026-05-15,1507,white_college,gcb_d_share,0.5638,Two-party share D/(D+R). AAPI excluded — lumped with Other.
201074F0_02,The New York Times/Siena College,3.0,2026-05-11,2026-05-15,1507,hispanic,gcb_d_share,0.6923,Two-party share D/(D+R). AAPI excluded — lumped with Other.
201074F0_03,The New York Times/Siena College,3.0,2026-05-11,2026-05-15,1507,black,gcb_d_share,0.9,Two-party share D/(D+R). AAPI excluded — lumped with Other.
201074F0_04,The New York Times/Siena College,3.0,2026-05-11,2026-05-15,1507,youth_18_29,gcb_d_share,0.7045,Two-party share D/(D+R). AAPI excluded — lumped with Other.
201074F0_05,The New York Times/Siena College,3.0,2026-05-11,2026-05-15,1507,seniors_65p,gcb_d_share,0.5161,Two-party share D/(D+R). AAPI excluded — lumped with Other.
201074F0_06,The New York Times/Siena College,3.0,2026-05-11,2026-05-15,1507,total,gcb_d_share,0.5618,Two-party share D/(D+R). AAPI excluded — lumped with Other.
32920D09_00,Cygnal,2.2,2026-05-05,2026-05-06,1500,total,gcb_d_share,0.5336,Two-party D/(D+R). LV. White col/no-col and 18-29/65+ not broken out in crosstabs.
32920D09_01,Cygnal,2.2,2026-05-05,2026-05-06,1500,black,gcb_d_share,0.8242,Two-party D/(D+R). LV. White col/no-col and 18-29/65+ not broken out in crosstabs.
32920D09_02,Cygnal,2.2,2026-05-05,2026-05-06,1500,hispanic,gcb_d_share,0.573,Two-party D/(D+R). LV. White col/no-col and 18-29/65+ not broken out in crosstabs.
4D8E1B27_00,NPR/PBS News/Marist Poll,3.0,2026-04-27,2026-04-30,1155,total,gcb_d_share,0.5532,Two-party D/(D+R). Registered Voters. No AAPI breakdown available (lumped with Other).
4D8E1B27_01,NPR/PBS News/Marist Poll,3.0,2026-04-27,2026-04-30,1155,white_nc,gcb_d_share,0.4681,Two-party D/(D+R). Registered Voters. White not college graduate. No AAPI breakdown available.
4D8E1B27_02,NPR/PBS News/Marist Poll,3.0,2026-04-27,2026-04-30,1155,white_college,gcb_d_share,0.6105,Two-party D/(D+R). Registered Voters. White college graduate. No AAPI breakdown available.
4D8E1B27_03,NPR/PBS News/Marist Poll,3.0,2026-04-27,2026-04-30,1155,black,gcb_d_share,0.7629,Two-party D/(D+R). Registered Voters. No AAPI breakdown available.
4D8E1B27_04,NPR/PBS News/Marist Poll,3.0,2026-04-27,2026-04-30,1155,hispanic,gcb_d_share,0.5684,Two-party D/(D+R). Registered Voters. No AAPI breakdown available.
4D8E1B27_05,NPR/PBS News/Marist Poll,3.0,2026-04-27,2026-04-30,1155,youth_18_29,gcb_d_share,0.6129,Two-party D/(D+R). Registered Voters. Uses 18-29 age band.
